Name,Cloud Sticker,Cloud Sticker,Cloud Sticker,Cloud Sticker
Start Date,4/23/23,4/23/23,4/23/23,4/23/23
End Date,5/22/23,5/22/23,5/22/23,5/22/23
,,,,
Date,Impressions,Product Page Views,Total Downloads,Sales($)
4/23/23,3638,123,64,13
4/24/23,4195,161,126,38
4/25/23,4053,151,94,12
4/26/23,4083,151,78,13
4/27/23,4775,134,81,25
4/28/23,3802,119,91,40
4/29/23,3011,66,46,15
4/30/23,2905,85,49,20
05/01/2023,3485,128,93,6
05/02/2023,3820,136,88,19
05/03/2023,3893,106,84,15
05/04/2023,4221,129,112,12
05/05/2023,4105,165,96,42
05/06/2023,3592,99,75,7
05/07/2023,3479,99,61,0
05/08/2023,4355,149,108,29
05/09/2023,4330,150,94,27
05/10/2023,4073,149,100,30
05/11/2023,3912,109,83,20
05/12/2023,3655,109,92,6
5/13/23,3726,71,40,12
5/14/23,3157,111,66,19
5/15/23,4158,161,109,16
5/16/23,4053,149,97,22
5/17/23,4055,137,102,42
5/18/23,3821,124,80,2
5/19/23,3614,118,78,25
5/20/23,3063,92,54,13
5/21/23,3160,86,62,7
5/22/23,4058,123,90,55
